count_id,store_id,sku_id,count_timestamp,physical_quantity_counted,system_quantity_at_count,variance_units,variance_dollars,count_type,counted_by_employee_id
1,1,187,2024-11-01 00:00:00,22,22,0,0.0,spot,10001
2,1,124,2024-11-01 00:00:00,56,56,0,0.0,partial,10001
3,1,193,2024-11-01 00:00:00,29,29,0,0.0,full,10001
4,1,180,2024-11-01 00:00:00,13,13,0,0.0,partial,10001
5,1,107,2024-11-01 00:00:00,59,59,0,0.0,partial,10001
6,1,157,2024-11-01 00:00:00,50,52,-2,-23.68,partial,10001
7,1,103,2024-11-01 00:00:00,16,16,0,0.0,partial,10001
8,1,34,2024-11-01 00:00:00,52,53,-1,-16.68,partial,10001
9,1,129,2024-11-01 00:00:00,12,13,-1,-5.47,spot,10001
10,1,194,2024-11-01 00:00:00,12,11,1,3.82,spot,10001
11,1,144,2024-11-01 00:00:00,23,22,1,4.16,full,10001
12,1,25,2024-11-01 00:00:00,27,28,-1,-7.14,partial,10001
13,1,39,2024-11-01 00:00:00,27,28,-1,-1.64,spot,10001
14,1,81,2024-11-01 00:00:00,29,30,-1,-14.51,spot,10001
15,1,111,2024-11-01 00:00:00,24,25,-1,-2.8,partial,10001
16,1,3,2024-11-01 00:00:00,35,36,-1,-6.98,spot,10001
17,1,183,2024-11-01 00:00:00,35,36,-1,-10.83,partial,10001
18,1,38,2024-11-01 00:00:00,24,24,0,0.0,partial,10001
19,1,151,2024-11-01 00:00:00,16,17,-1,-1.54,partial,10001
20,1,12,2024-11-01 00:00:00,28,29,-1,-13.58,partial,10001
21,1,58,2024-11-01 00:00:00,55,56,-1,-4.34,partial,10001
22,1,70,2024-11-01 00:00:00,35,36,-1,-16.27,spot,10001
23,1,57,2024-11-01 00:00:00,27,27,0,0.0,full,10001
24,1,158,2024-11-01 00:00:00,58,59,-1,-5.81,full,10001
25,1,161,2024-11-01 00:00:00,42,42,0,0.0,partial,10001
26,1,97,2024-11-01 00:00:00,25,25,0,0.0,spot,10001
27,1,127,2024-11-01 00:00:00,25,26,-1,-7.72,partial,10001
28,1,122,2024-11-01 00:00:00,44,44,0,0.0,spot,10001
