store_id,date,local_crime_index,local_unemployment_rate,weather_summary,is_holiday
1,2024-11-01,30,7.16,clear,False
1,2024-11-02,51,7.54,snow,False
1,2024-11-03,26,7.43,clear,False
1,2024-11-04,41,7.04,clear,False
1,2024-11-05,46,7.08,cloudy,False
1,2024-11-06,34,7.0,rain,False
1,2024-11-07,33,7.18,cloudy,False
1,2024-11-08,24,7.7,clear,False
1,2024-11-09,16,7.12,rain,False
1,2024-11-10,27,7.22,clear,False
1,2024-11-11,44,7.33,cloudy,False
1,2024-11-12,41,7.01,cloudy,False
1,2024-11-13,28,7.36,snow,False
1,2024-11-14,29,6.87,snow,False
1,2024-11-15,29,6.97,storm,False
1,2024-11-16,26,7.37,rain,False
1,2024-11-17,40,7.77,rain,False
1,2024-11-18,27,7.49,rain,False
1,2024-11-19,24,7.84,clear,False
1,2024-11-20,29,6.9,rain,False
1,2024-11-21,24,7.06,clear,False
1,2024-11-22,34,7.31,clear,False
1,2024-11-23,25,7.2,cloudy,False
1,2024-11-24,35,7.58,clear,False
1,2024-11-25,44,7.3,clear,False
1,2024-11-26,28,6.84,clear,False
1,2024-11-27,25,7.04,rain,False
1,2024-11-28,24,6.77,cloudy,True
1,2024-11-29,23,7.16,cloudy,False
1,2024-11-30,44,7.16,clear,False
1,2024-12-01,34,6.7,rain,False
1,2024-12-02,46,7.15,clear,False
1,2024-12-03,40,6.85,rain,False
1,2024-12-04,26,7.31,cloudy,False
1,2024-12-05,36,7.01,clear,False
1,2024-12-06,17,7.2,clear,False
1,2024-12-07,40,6.85,clear,False
1,2024-12-08,47,6.99,snow,False
1,2024-12-09,37,6.79,clear,False
1,2024-12-10,34,7.27,clear,False
1,2024-12-11,26,7.1,clear,False
1,2024-12-12,38,6.93,clear,False
1,2024-12-13,43,6.98,clear,False
1,2024-12-14,41,7.51,snow,False
1,2024-12-15,42,7.04,cloudy,False
1,2024-12-16,40,7.42,clear,False
1,2024-12-17,44,6.78,rain,False
1,2024-12-18,33,6.65,clear,False
1,2024-12-19,43,7.1,storm,False
1,2024-12-20,37,7.02,rain,False
1,2024-12-21,33,7.04,rain,False
1,2024-12-22,35,6.65,snow,False
1,2024-12-23,33,7.04,snow,False
1,2024-12-24,46,6.79,cloudy,False
1,2024-12-25,41,7.22,clear,True
1,2024-12-26,44,7.27,clear,False
1,2024-12-27,33,6.84,clear,False
1,2024-12-28,32,6.72,clear,False
1,2024-12-29,35,7.26,clear,False
1,2024-12-30,22,7.12,clear,False
1,2024-12-31,30,7.42,clear,True
1,2025-01-01,23,7.11,cloudy,True
1,2025-01-02,33,7.21,rain,False
1,2025-01-03,33,7.62,cloudy,False
1,2025-01-04,29,7.18,snow,False
1,2025-01-05,20,7.19,clear,False
1,2025-01-06,26,7.06,storm,False
1,2025-01-07,47,7.05,cloudy,False
1,2025-01-08,34,7.17,clear,False
1,2025-01-09,29,7.52,clear,False
1,2025-01-10,10,7.2,cloudy,False
1,2025-01-11,26,7.13,cloudy,False
1,2025-01-12,28,7.28,rain,False
1,2025-01-13,29,7.01,clear,False
1,2025-01-14,50,7.25,clear,False
1,2025-01-15,46,7.38,cloudy,False
1,2025-01-16,35,7.09,storm,False
1,2025-01-17,29,7.33,cloudy,False
1,2025-01-18,22,7.11,clear,False
1,2025-01-19,39,7.58,cloudy,False
1,2025-01-20,36,7.4,cloudy,False
1,2025-01-21,37,7.06,clear,False
1,2025-01-22,40,7.36,clear,False
1,2025-01-23,36,7.04,rain,False
1,2025-01-24,30,7.61,clear,False
1,2025-01-25,20,6.41,cloudy,False
1,2025-01-26,37,7.23,clear,False
1,2025-01-27,43,7.06,clear,False
1,2025-01-28,33,7.18,clear,False
1,2025-01-29,25,7.67,clear,False
1,2025-01-30,28,7.62,storm,False
1,2025-01-31,21,6.84,clear,False
1,2025-02-01,32,7.81,snow,False
1,2025-02-02,31,7.29,clear,False
1,2025-02-03,36,7.1,clear,False
1,2025-02-04,25,7.25,clear,False
1,2025-02-05,33,7.4,cloudy,False
1,2025-02-06,44,7.51,cloudy,False
1,2025-02-07,20,7.04,clear,False
1,2025-02-08,29,6.85,clear,False
1,2025-02-09,36,6.53,clear,False
1,2025-02-10,21,7.35,snow,False
1,2025-02-11,31,7.1,clear,False
1,2025-02-12,33,7.42,clear,False
1,2025-02-13,39,7.15,storm,False
1,2025-02-14,43,6.79,cloudy,False
1,2025-02-15,28,6.94,clear,False
1,2025-02-16,31,7.26,clear,False
1,2025-02-17,41,7.25,storm,False
1,2025-02-18,25,7.13,clear,False
1,2025-02-19,31,7.79,clear,False
1,2025-02-20,37,7.0,clear,False
1,2025-02-21,28,7.11,cloudy,False
1,2025-02-22,32,7.22,cloudy,False
1,2025-02-23,40,7.2,cloudy,False
1,2025-02-24,21,7.25,clear,False
1,2025-02-25,30,7.24,cloudy,False
1,2025-02-26,28,7.75,clear,False
1,2025-02-27,31,6.73,storm,False
1,2025-02-28,34,7.12,clear,False
1,2025-03-01,23,6.54,clear,False
1,2025-03-02,37,7.84,cloudy,False
1,2025-03-03,36,7.11,rain,False
1,2025-03-04,46,7.31,cloudy,False
1,2025-03-05,46,7.54,cloudy,False
1,2025-03-06,37,6.97,snow,False
1,2025-03-07,48,7.66,clear,False
1,2025-03-08,31,7.02,clear,False
1,2025-03-09,47,7.27,clear,False
1,2025-03-10,43,7.13,clear,False
1,2025-03-11,30,7.14,clear,False
1,2025-03-12,19,6.98,storm,False
1,2025-03-13,24,7.41,clear,False
1,2025-03-14,40,6.54,clear,False
1,2025-03-15,34,7.1,clear,False
1,2025-03-16,28,6.97,clear,False
1,2025-03-17,40,7.16,clear,False
1,2025-03-18,25,7.18,clear,False
1,2025-03-19,32,7.33,cloudy,False
1,2025-03-20,33,6.92,clear,False
1,2025-03-21,22,7.13,cloudy,False
1,2025-03-22,25,7.13,cloudy,False
1,2025-03-23,23,7.63,clear,False
1,2025-03-24,41,7.32,clear,False
1,2025-03-25,28,7.07,cloudy,False
1,2025-03-26,31,7.35,clear,False
1,2025-03-27,42,7.13,rain,False
1,2025-03-28,37,7.53,storm,False
1,2025-03-29,28,7.03,clear,False
1,2025-03-30,32,7.62,clear,False
1,2025-03-31,32,6.91,cloudy,False
1,2025-04-01,44,7.17,clear,False
1,2025-04-02,41,7.15,clear,False
1,2025-04-03,29,7.14,rain,False
1,2025-04-04,47,6.84,clear,False
1,2025-04-05,44,6.92,clear,False
1,2025-04-06,36,7.34,snow,False
1,2025-04-07,32,7.12,cloudy,False
1,2025-04-08,35,6.79,clear,False
1,2025-04-09,19,7.44,clear,False
1,2025-04-10,27,7.65,rain,False
1,2025-04-11,44,6.77,clear,False
1,2025-04-12,26,7.26,clear,False
1,2025-04-13,30,7.2,rain,False
1,2025-04-14,26,7.41,rain,False
1,2025-04-15,44,6.33,clear,False
1,2025-04-16,36,7.63,storm,False
1,2025-04-17,30,7.03,rain,False
1,2025-04-18,31,7.16,clear,False
1,2025-04-19,18,7.32,cloudy,False
1,2025-04-20,32,7.36,clear,False
1,2025-04-21,33,7.53,storm,False
1,2025-04-22,21,6.7,storm,False
1,2025-04-23,37,7.09,clear,False
1,2025-04-24,30,7.66,cloudy,False
1,2025-04-25,29,6.82,clear,False
1,2025-04-26,43,7.14,rain,False
1,2025-04-27,42,7.01,clear,False
1,2025-04-28,39,7.81,rain,False
1,2025-04-29,45,7.21,rain,False
1,2025-04-30,34,6.89,clear,False
1,2025-05-01,29,7.12,clear,False
2,2024-11-01,33,6.82,clear,False
2,2024-11-02,35,7.25,clear,False
2,2024-11-03,33,7.41,rain,False
2,2024-11-04,25,7.74,clear,False
2,2024-11-05,37,7.25,cloudy,False
2,2024-11-06,53,6.93,clear,False
2,2024-11-07,26,7.6,clear,False
2,2024-11-08,32,7.11,clear,False
2,2024-11-09,26,7.41,rain,False
2,2024-11-10,31,7.22,rain,False
2,2024-11-11,27,7.58,clear,False
2,2024-11-12,30,7.53,cloudy,False
2,2024-11-13,35,7.79,snow,False
2,2024-11-14,47,7.92,clear,False
2,2024-11-15,30,7.47,storm,False
2,2024-11-16,39,7.5,clear,False
2,2024-11-17,46,8.05,snow,False
2,2024-11-18,28,7.0,cloudy,False
2,2024-11-19,28,7.14,rain,False
2,2024-11-20,29,7.47,snow,False
2,2024-11-21,35,7.38,clear,False
2,2024-11-22,31,7.48,cloudy,False
2,2024-11-23,33,6.71,cloudy,False
2,2024-11-24,41,7.43,cloudy,False
2,2024-11-25,23,7.2,clear,False
2,2024-11-26,30,6.95,rain,False
2,2024-11-27,26,7.3,cloudy,False
2,2024-11-28,34,7.32,snow,True
2,2024-11-29,28,7.53,clear,False
2,2024-11-30,37,7.42,clear,False
2,2024-12-01,50,7.11,cloudy,False
2,2024-12-02,30,7.75,clear,False
2,2024-12-03,49,7.57,clear,False
2,2024-12-04,39,7.15,clear,False
2,2024-12-05,31,7.5,rain,False
2,2024-12-06,28,7.19,cloudy,False
2,2024-12-07,41,7.28,cloudy,False
2,2024-12-08,35,7.47,clear,False
2,2024-12-09,37,7.67,snow,False
2,2024-12-10,44,7.5,clear,False
2,2024-12-11,42,7.24,clear,False
2,2024-12-12,21,7.88,clear,False
2,2024-12-13,38,7.42,clear,False
2,2024-12-14,38,7.45,clear,False
2,2024-12-15,28,7.38,cloudy,False
2,2024-12-16,40,7.72,rain,False
2,2024-12-17,42,7.53,snow,False
2,2024-12-18,35,7.43,cloudy,False
2,2024-12-19,39,7.62,clear,False
2,2024-12-20,44,6.96,clear,False
2,2024-12-21,27,7.36,clear,False
2,2024-12-22,37,7.39,cloudy,False
2,2024-12-23,47,7.74,rain,False
2,2024-12-24,38,7.13,cloudy,False
2,2024-12-25,46,7.35,clear,True
2,2024-12-26,16,6.94,clear,False
2,2024-12-27,23,7.25,clear,False
2,2024-12-28,34,6.84,rain,False
2,2024-12-29,35,7.62,snow,False
2,2024-12-30,52,7.82,cloudy,False
2,2024-12-31,41,7.19,clear,True
2,2025-01-01,36,7.81,rain,True
2,2025-01-02,44,7.3,clear,False
2,2025-01-03,38,7.37,clear,False
2,2025-01-04,32,7.36,clear,False
2,2025-01-05,34,7.63,cloudy,False
2,2025-01-06,44,7.7,clear,False
2,2025-01-07,42,7.41,clear,False
2,2025-01-08,53,8.25,clear,False
2,2025-01-09,43,7.81,clear,False
2,2025-01-10,35,7.56,clear,False
2,2025-01-11,35,7.87,cloudy,False
2,2025-01-12,26,7.69,storm,False
2,2025-01-13,34,7.57,rain,False
2,2025-01-14,35,7.59,snow,False
2,2025-01-15,24,7.14,storm,False
2,2025-01-16,51,7.37,cloudy,False
2,2025-01-17,36,7.26,clear,False
2,2025-01-18,31,7.38,clear,False
2,2025-01-19,36,7.52,clear,False
2,2025-01-20,18,7.0,cloudy,False
2,2025-01-21,33,7.3,rain,False
2,2025-01-22,40,7.65,clear,False
2,2025-01-23,20,7.25,storm,False
2,2025-01-24,34,8.02,cloudy,False
2,2025-01-25,38,7.54,clear,False
2,2025-01-26,32,7.37,storm,False
2,2025-01-27,22,7.62,cloudy,False
2,2025-01-28,40,7.07,clear,False
2,2025-01-29,34,7.98,clear,False
2,2025-01-30,39,7.45,clear,False
2,2025-01-31,28,7.01,rain,False
2,2025-02-01,35,7.7,clear,False
2,2025-02-02,40,6.97,rain,False
2,2025-02-03,45,7.85,cloudy,False
2,2025-02-04,29,6.7,clear,False
2,2025-02-05,32,7.12,clear,False
2,2025-02-06,41,7.66,clear,False
2,2025-02-07,22,7.85,clear,False
2,2025-02-08,30,7.14,cloudy,False
2,2025-02-09,29,7.08,clear,False
2,2025-02-10,42,6.91,clear,False
2,2025-02-11,34,7.19,clear,False
2,2025-02-12,26,7.81,cloudy,False
2,2025-02-13,46,7.91,storm,False
2,2025-02-14,26,7.36,cloudy,False
2,2025-02-15,60,7.25,clear,False
2,2025-02-16,24,6.71,clear,False
2,2025-02-17,35,7.58,cloudy,False
2,2025-02-18,24,7.11,clear,False
2,2025-02-19,29,6.98,rain,False
2,2025-02-20,37,7.1,cloudy,False
2,2025-02-21,43,6.77,cloudy,False
2,2025-02-22,50,7.35,cloudy,False
2,2025-02-23,18,7.32,snow,False
2,2025-02-24,38,7.24,clear,False
2,2025-02-25,29,7.51,rain,False
2,2025-02-26,31,7.29,rain,False
2,2025-02-27,42,7.34,cloudy,False
2,2025-02-28,26,7.0,clear,False
2,2025-03-01,31,7.2,snow,False
2,2025-03-02,37,7.29,clear,False
2,2025-03-03,40,7.46,clear,False
2,2025-03-04,46,6.79,cloudy,False
2,2025-03-05,42,7.52,cloudy,False
2,2025-03-06,44,7.44,cloudy,False
2,2025-03-07,30,7.36,clear,False
2,2025-03-08,42,7.66,clear,False
2,2025-03-09,39,7.13,rain,False
2,2025-03-10,37,7.54,clear,False
2,2025-03-11,35,7.19,snow,False
2,2025-03-12,34,8.2,cloudy,False
2,2025-03-13,31,8.18,rain,False
2,2025-03-14,42,7.62,clear,False
2,2025-03-15,21,7.21,clear,False
2,2025-03-16,33,7.67,snow,False
2,2025-03-17,54,7.11,clear,False
2,2025-03-18,37,7.24,cloudy,False
2,2025-03-19,34,7.62,snow,False
2,2025-03-20,29,7.71,rain,False
2,2025-03-21,42,7.65,rain,False
2,2025-03-22,34,7.16,rain,False
2,2025-03-23,41,7.01,snow,False
2,2025-03-24,44,7.91,rain,False
2,2025-03-25,41,7.66,clear,False
2,2025-03-26,33,7.54,clear,False
2,2025-03-27,49,7.35,cloudy,False
2,2025-03-28,42,6.95,clear,False
2,2025-03-29,47,7.35,clear,False
2,2025-03-30,38,7.28,clear,False
2,2025-03-31,47,7.24,rain,False
2,2025-04-01,32,7.89,rain,False
2,2025-04-02,25,7.21,clear,False
2,2025-04-03,27,7.77,clear,False
2,2025-04-04,48,7.1,clear,False
2,2025-04-05,38,7.6,clear,False
2,2025-04-06,31,7.19,clear,False
2,2025-04-07,54,7.51,clear,False
2,2025-04-08,24,7.45,rain,False
