adjustment_id,store_id,sku_id,adjustment_timestamp,adjustment_quantity,reason_code,approved_by_employee_id
1,1,101,2025-01-25 00:00:00,-1,damage,10001
2,1,139,2024-11-16 00:00:00,-1,transfer_out,10001
3,1,81,2025-02-01 00:00:00,-1,transfer_out,10001
4,1,106,2025-01-13 00:00:00,-1,employee_meal,10001
5,1,176,2025-03-16 00:00:00,-1,expiry,10001
6,1,24,2025-03-28 00:00:00,-1,transfer_out,10001
7,1,84,2024-12-27 00:00:00,-2,transfer_out,10001
8,1,168,2024-12-07 00:00:00,-2,damage,10001
9,1,155,2024-11-10 00:00:00,-1,employee_meal,10001
10,1,131,2025-03-20 00:00:00,-2,employee_meal,10001
11,1,198,2025-01-25 00:00:00,-1,other,10001
12,1,47,2024-11-05 00:00:00,-2,transfer_out,10001
13,1,103,2025-03-27 00:00:00,-1,employee_meal,10001
14,1,195,2024-11-30 00:00:00,-1,transfer_out,10001
15,1,14,2025-02-25 00:00:00,-2,expiry,10001
16,1,76,2025-03-16 00:00:00,-1,damage,10001
17,1,153,2024-12-05 00:00:00,-2,expiry,10001
18,1,10,2025-02-18 00:00:00,-2,expiry,10001
19,1,104,2025-04-04 00:00:00,-2,expiry,10001
20,1,156,2025-01-28 00:00:00,-1,damage,10001
21,1,56,2025-04-27 00:00:00,-2,employee_meal,10001
22,1,160,2025-02-16 00:00:00,-1,damage,10001
23,1,198,2025-03-18 00:00:00,-1,damage,10001
24,1,110,2024-11-19 00:00:00,-1,damage,10001
25,1,94,2025-04-11 00:00:00,-3,expiry,10001
26,1,140,2025-02-10 00:00:00,-3,expiry,10001
27,1,9,2025-04-27 00:00:00,-6,damage,10001
28,1,167,2025-02-22 00:00:00,-1,expiry,10001
29,1,153,2024-12-12 00:00:00,-1,expiry,10001
30,1,3,2025-02-20 00:00:00,-6,expiry,10001
31,1,170,2025-02-23 00:00:00,-2,transfer_out,10001
32,1,161,2025-02-09 00:00:00,-1,transfer_out,10001
33,1,198,2025-03-31 00:00:00,-2,transfer_out,10001
34,1,191,2024-12-18 00:00:00,-1,expiry,10001
35,1,114,2025-03-25 00:00:00,-1,transfer_out,10001
36,1,16,2024-12-05 00:00:00,-1,damage,10001
37,1,127,2025-01-14 00:00:00,-3,damage,10001
38,1,142,2025-03-19 00:00:00,-1,damage,10001
39,1,199,2025-03-18 00:00:00,-2,other,10001
40,1,193,2025-02-15 00:00:00,-1,transfer_out,10001
41,1,5,2025-03-18 00:00:00,-1,damage,10001
42,1,150,2025-02-09 00:00:00,-1,damage,10001
43,1,174,2024-12-10 00:00:00,-2,expiry,10001
44,1,83,2025-04-18 00:00:00,-3,transfer_out,10001
45,1,171,2025-04-05 00:00:00,-1,employee_meal,10001
46,1,197,2025-03-18 00:00:00,-1,expiry,10001
47,1,13,2025-02-09 00:00:00,-1,expiry,10001
48,1,103,2024-12-03 00:00:00,-1,expiry,10001
49,1,139,2025-02-06 00:00:00,-1,expiry,10001
50,1,135,2024-12-30 00:00:00,-1,damage,10001
51,1,30,2025-01-01 00:00:00,-1,expiry,10001
52,1,46,2025-03-06 00:00:00,-3,expiry,10001
53,1,39,2025-02-28 00:00:00,-3,expiry,10001
54,1,78,2025-02-08 00:00:00,-3,expiry,10001
55,1,27,2025-03-06 00:00:00,-1,expiry,10001
56,1,1,2025-04-10 00:00:00,-3,other,10001
57,1,60,2025-03-25 00:00:00,-2,expiry,10001
58,1,14,2025-02-15 00:00:00,-1,expiry,10001
59,1,171,2025-01-30 00:00:00,-1,expiry,10001
60,1,89,2025-01-18 00:00:00,-2,damage,10001
61,1,198,2024-11-06 00:00:00,-1,damage,10001
62,1,162,2025-04-12 00:00:00,-1,employee_meal,10001
63,1,115,2025-05-01 00:00:00,-1,expiry,10001
64,1,180,2024-12-19 00:00:00,-1,damage,10001
65,1,86,2025-02-01 00:00:00,-2,employee_meal,10001
66,1,127,2025-02-16 00:00:00,-2,other,10001
67,1,199,2025-04-23 00:00:00,-3,damage,10001
68,1,138,2025-01-01 00:00:00,-2,expiry,10001
69,1,83,2025-02-05 00:00:00,-2,employee_meal,10001
70,1,141,2024-12-11 00:00:00,-1,damage,10001
71,1,59,2025-03-10 00:00:00,-2,employee_meal,10001
72,1,19,2024-12-16 00:00:00,-1,transfer_out,10001
73,1,40,2025-02-03 00:00:00,-2,damage,10001
74,1,36,2025-04-13 00:00:00,-1,expiry,10001
75,1,77,2025-02-24 00:00:00,-1,expiry,10001
76,1,182,2024-12-19 00:00:00,-3,employee_meal,10001
77,1,18,2025-02-10 00:00:00,-6,expiry,10001
78,1,152,2025-03-26 00:00:00,-1,expiry,10001
79,1,34,2025-03-27 00:00:00,-1,expiry,10001
80,1,61,2025-01-19 00:00:00,-2,damage,10001
81,1,155,2025-02-15 00:00:00,-1,damage,10001
82,1,62,2025-02-01 00:00:00,-1,expiry,10001
83,1,35,2025-02-18 00:00:00,-6,damage,10001
84,1,16,2024-12-16 00:00:00,-1,transfer_out,10001
85,1,64,2025-04-05 00:00:00,-6,expiry,10001
86,1,7,2025-01-27 00:00:00,-1,damage,10001
87,1,91,2024-12-21 00:00:00,-3,expiry,10001
88,1,14,2025-02-12 00:00:00,-2,expiry,10001
89,1,1,2024-11-14 00:00:00,-1,damage,10001
90,1,86,2024-11-20 00:00:00,-1,transfer_out,10001
91,1,104,2025-01-28 00:00:00,-3,expiry,10001
92,1,153,2025-03-05 00:00:00,-1,damage,10001
93,1,111,2025-01-09 00:00:00,-1,expiry,10001
94,1,118,2025-02-18 00:00:00,-1,employee_meal,10001
95,1,34,2024-11-16 00:00:00,-2,expiry,10001
96,1,22,2025-05-01 00:00:00,-6,damage,10001
97,1,109,2025-04-12 00:00:00,-1,expiry,10001
98,1,188,2024-12-09 00:00:00,-2,expiry,10001
99,1,157,2024-11-07 00:00:00,-1,employee_meal,10001
100,1,194,2025-02-25 00:00:00,-2,other,10001
101,1,165,2025-04-28 00:00:00,-1,damage,10001
102,1,129,2025-02-28 00:00:00,-1,employee_meal,10001
103,1,164,2025-03-02 00:00:00,-1,employee_meal,10001
104,1,159,2024-12-16 00:00:00,-2,expiry,10001
105,1,14,2025-04-29 00:00:00,-1,employee_meal,10001
106,1,41,2025-01-30 00:00:00,-1,expiry,10001
107,1,188,2024-12-02 00:00:00,-1,transfer_out,10001
108,1,141,2025-03-04 00:00:00,-1,damage,10001
109,1,14,2025-01-02 00:00:00,-2,damage,10001
110,1,155,2025-04-14 00:00:00,-3,expiry,10001
111,1,182,2024-11-01 00:00:00,-1,damage,10001
112,1,64,2025-04-20 00:00:00,-2,damage,10001
113,1,159,2025-02-17 00:00:00,-1,employee_meal,10001
114,1,97,2025-01-02 00:00:00,-1,expiry,10001
115,1,9,2024-12-26 00:00:00,-3,damage,10001
116,1,7,2024-11-09 00:00:00,-1,other,10001
117,1,120,2025-04-07 00:00:00,-1,transfer_out,10001
118,1,160,2025-04-02 00:00:00,-1,damage,10001
119,1,145,2025-03-28 00:00:00,-3,expiry,10001
120,1,148,2025-03-13 00:00:00,-1,employee_meal,10001
121,1,41,2024-12-11 00:00:00,-1,damage,10001
122,1,67,2025-04-30 00:00:00,-6,expiry,10001
123,1,59,2025-03-17 00:00:00,-1,expiry,10001
124,1,170,2025-04-01 00:00:00,-1,expiry,10001
125,1,125,2025-01-05 00:00:00,-1,employee_meal,10001
126,1,58,2025-03-11 00:00:00,-2,employee_meal,10001
127,1,64,2024-12-16 00:00:00,-2,damage,10001
128,1,21,2025-02-28 00:00:00,-3,employee_meal,10001
129,1,115,2025-03-22 00:00:00,-2,damage,10001
130,1,188,2025-03-30 00:00:00,-1,transfer_out,10001
131,1,63,2025-02-03 00:00:00,-1,expiry,10001
132,1,133,2025-04-26 00:00:00,-3,other,10001
133,1,126,2024-11-10 00:00:00,-1,damage,10001
134,1,164,2024-12-24 00:00:00,-1,expiry,10001
135,1,87,2025-02-18 00:00:00,-3,expiry,10001
136,1,138,2024-11-04 00:00:00,-1,employee_meal,10001
137,1,77,2025-01-29 00:00:00,-1,damage,10001
138,1,179,2025-01-30 00:00:00,-2,employee_meal,10001
139,1,186,2025-04-12 00:00:00,-1,damage,10001
140,1,108,2025-04-23 00:00:00,-2,employee_meal,10001
141,1,102,2025-02-09 00:00:00,-2,damage,10001
142,1,25,2025-04-03 00:00:00,-2,damage,10001
143,1,111,2025-03-27 00:00:00,-2,damage,10001
144,1,165,2025-04-18 00:00:00,-2,transfer_out,10001
145,1,138,2025-03-13 00:00:00,-1,transfer_out,10001
146,1,161,2024-12-09 00:00:00,-1,transfer_out,10001
147,1,108,2024-11-20 00:00:00,-2,transfer_out,10001
148,1,192,2025-04-23 00:00:00,-6,damage,10001
149,1,126,2024-11-06 00:00:00,-1,damage,10001
150,1,170,2024-12-29 00:00:00,-1,transfer_out,10001
151,1,75,2025-03-01 00:00:00,-1,employee_meal,10001
152,1,178,2024-11-10 00:00:00,-3,damage,10001
153,1,106,2025-04-10 00:00:00,-1,transfer_out,10001
154,1,12,2024-12-07 00:00:00,-1,expiry,10001
155,1,83,2025-04-07 00:00:00,-1,damage,10001
156,1,113,2025-02-02 00:00:00,-2,employee_meal,10001
157,1,108,2025-03-04 00:00:00,-1,transfer_out,10001
158,1,125,2024-12-09 00:00:00,-2,expiry,10001
159,1,113,2024-11-16 00:00:00,-2,employee_meal,10001
160,1,44,2025-01-24 00:00:00,-1,transfer_out,10001
161,1,41,2025-03-11 00:00:00,-1,employee_meal,10001
162,1,8,2025-02-02 00:00:00,-2,expiry,10001
163,1,197,2025-03-23 00:00:00,-1,expiry,10001
164,1,162,2025-03-24 00:00:00,-1,damage,10001
165,1,147,2024-12-26 00:00:00,-6,damage,10001
166,1,142,2024-11-28 00:00:00,-1,expiry,10001
167,1,171,2025-03-13 00:00:00,-6,expiry,10001
168,1,128,2024-12-06 00:00:00,-2,employee_meal,10001
169,1,62,2024-11-28 00:00:00,-3,transfer_out,10001
170,1,99,2025-01-18 00:00:00,-3,employee_meal,10001
171,1,77,2025-01-22 00:00:00,-1,damage,10001
172,1,176,2024-12-10 00:00:00,-1,employee_meal,10001
173,1,64,2025-02-10 00:00:00,-2,expiry,10001
174,1,188,2025-01-19 00:00:00,-3,damage,10001
175,1,116,2025-01-07 00:00:00,-2,damage,10001
176,1,165,2024-12-10 00:00:00,-2,damage,10001
177,1,95,2025-03-21 00:00:00,-2,expiry,10001
178,1,178,2025-03-01 00:00:00,-1,damage,10001
179,1,87,2025-02-15 00:00:00,-3,employee_meal,10001
180,1,165,2024-11-03 00:00:00,-3,damage,10001
181,1,123,2025-03-19 00:00:00,-2,employee_meal,10001
182,1,61,2025-01-17 00:00:00,-2,damage,10001
183,1,184,2025-01-30 00:00:00,-1,transfer_out,10001
184,1,11,2025-03-12 00:00:00,-3,expiry,10001
185,1,56,2024-12-05 00:00:00,-3,employee_meal,10001
186,1,38,2025-03-24 00:00:00,-1,employee_meal,10001
187,1,104,2025-02-21 00:00:00,-1,employee_meal,10001
188,1,78,2025-03-02 00:00:00,-1,transfer_out,10001
189,1,69,2025-04-01 00:00:00,-1,expiry,10001
190,1,100,2024-12-22 00:00:00,-1,transfer_out,10001
191,1,27,2025-03-07 00:00:00,-1,transfer_out,10001
192,1,61,2024-11-06 00:00:00,-1,expiry,10001
193,1,164,2024-11-27 00:00:00,-1,damage,10001
194,1,61,2025-03-23 00:00:00,-1,other,10001
195,1,107,2025-03-23 00:00:00,-1,employee_meal,10001
196,1,109,2025-02-11 00:00:00,-6,transfer_out,10001
197,1,18,2024-11-19 00:00:00,-2,damage,10001
198,1,92,2025-01-23 00:00:00,-1,expiry,10001
199,1,3,2025-01-05 00:00:00,-1,damage,10001
200,1,18,2025-04-30 00:00:00,-1,employee_meal,10001
201,1,40,2025-03-15 00:00:00,-1,damage,10001
