shift_id,employee_id,store_id,shift_start_timestamp,shift_end_timestamp,shift_classification
1,20006,1,2024-11-01 05:00:00,2024-11-01 11:00:00,morning
2,20004,1,2024-11-01 11:00:00,2024-11-01 16:00:00,midday
3,20009,1,2024-11-01 16:00:00,2024-11-01 23:00:00,evening
4,20012,1,2024-11-01 23:00:00,2024-11-02 05:00:00,overnight
5,20001,1,2024-11-02 05:00:00,2024-11-02 11:00:00,morning
6,20008,1,2024-11-02 11:00:00,2024-11-02 16:00:00,midday
7,20005,1,2024-11-02 16:00:00,2024-11-02 23:00:00,evening
8,20001,1,2024-11-02 23:00:00,2024-11-03 05:00:00,overnight
9,20004,1,2024-11-03 05:00:00,2024-11-03 11:00:00,morning
10,20001,1,2024-11-03 11:00:00,2024-11-03 16:00:00,midday
11,20006,1,2024-11-03 16:00:00,2024-11-03 23:00:00,evening
12,20002,1,2024-11-03 23:00:00,2024-11-04 05:00:00,overnight
13,20005,1,2024-11-04 05:00:00,2024-11-04 11:00:00,morning
14,20007,1,2024-11-04 11:00:00,2024-11-04 16:00:00,midday
15,20002,1,2024-11-04 16:00:00,2024-11-04 23:00:00,evening
16,20006,1,2024-11-04 23:00:00,2024-11-05 05:00:00,overnight
17,20006,1,2024-11-05 05:00:00,2024-11-05 11:00:00,morning
18,20005,1,2024-11-05 11:00:00,2024-11-05 16:00:00,midday
19,20005,1,2024-11-05 16:00:00,2024-11-05 23:00:00,evening
20,20003,1,2024-11-05 23:00:00,2024-11-06 05:00:00,overnight
21,20010,1,2024-11-06 05:00:00,2024-11-06 11:00:00,morning
22,20010,1,2024-11-06 11:00:00,2024-11-06 16:00:00,midday
23,20011,1,2024-11-06 16:00:00,2024-11-06 23:00:00,evening
24,20012,1,2024-11-06 23:00:00,2024-11-07 05:00:00,overnight
25,20002,1,2024-11-07 05:00:00,2024-11-07 11:00:00,morning
26,20007,1,2024-11-07 11:00:00,2024-11-07 16:00:00,midday
27,20001,1,2024-11-07 16:00:00,2024-11-07 23:00:00,evening
28,20006,1,2024-11-07 23:00:00,2024-11-08 05:00:00,overnight
29,20006,1,2024-11-08 05:00:00,2024-11-08 11:00:00,morning
30,20003,1,2024-11-08 11:00:00,2024-11-08 16:00:00,midday
31,20002,1,2024-11-08 16:00:00,2024-11-08 23:00:00,evening
32,20012,1,2024-11-08 23:00:00,2024-11-09 05:00:00,overnight
33,20002,1,2024-11-09 05:00:00,2024-11-09 11:00:00,morning
34,20009,1,2024-11-09 11:00:00,2024-11-09 16:00:00,midday
35,20011,1,2024-11-09 16:00:00,2024-11-09 23:00:00,evening
36,20005,1,2024-11-09 23:00:00,2024-11-10 05:00:00,overnight
37,20007,1,2024-11-10 05:00:00,2024-11-10 11:00:00,morning
38,20012,1,2024-11-10 11:00:00,2024-11-10 16:00:00,midday
39,20005,1,2024-11-10 16:00:00,2024-11-10 23:00:00,evening
40,20007,1,2024-11-10 23:00:00,2024-11-11 05:00:00,overnight
41,20004,1,2024-11-11 05:00:00,2024-11-11 11:00:00,morning
42,20008,1,2024-11-11 11:00:00,2024-11-11 16:00:00,midday
43,20011,1,2024-11-11 16:00:00,2024-11-11 23:00:00,evening
44,20010,1,2024-11-11 23:00:00,2024-11-12 05:00:00,overnight
45,20011,1,2024-11-12 05:00:00,2024-11-12 11:00:00,morning
46,20010,1,2024-11-12 11:00:00,2024-11-12 16:00:00,midday
47,20007,1,2024-11-12 16:00:00,2024-11-12 23:00:00,evening
48,20010,1,2024-11-12 23:00:00,2024-11-13 05:00:00,overnight
49,20005,1,2024-11-13 05:00:00,2024-11-13 11:00:00,morning
50,20011,1,2024-11-13 11:00:00,2024-11-13 16:00:00,midday
51,20006,1,2024-11-13 16:00:00,2024-11-13 23:00:00,evening
52,20005,1,2024-11-13 23:00:00,2024-11-14 05:00:00,overnight
53,20007,1,2024-11-14 05:00:00,2024-11-14 11:00:00,morning
54,20012,1,2024-11-14 11:00:00,2024-11-14 16:00:00,midday
55,20002,1,2024-11-14 16:00:00,2024-11-14 23:00:00,evening
56,20005,1,2024-11-14 23:00:00,2024-11-15 05:00:00,overnight
57,20010,1,2024-11-15 05:00:00,2024-11-15 11:00:00,morning
58,20003,1,2024-11-15 11:00:00,2024-11-15 16:00:00,midday
59,20009,1,2024-11-15 16:00:00,2024-11-15 23:00:00,evening
60,20006,1,2024-11-15 23:00:00,2024-11-16 05:00:00,overnight
61,20010,1,2024-11-16 05:00:00,2024-11-16 11:00:00,morning
62,20003,1,2024-11-16 11:00:00,2024-11-16 16:00:00,midday
63,20007,1,2024-11-16 16:00:00,2024-11-16 23:00:00,evening
64,20004,1,2024-11-16 23:00:00,2024-11-17 05:00:00,overnight
65,20003,1,2024-11-17 05:00:00,2024-11-17 11:00:00,morning
66,20008,1,2024-11-17 11:00:00,2024-11-17 16:00:00,midday
67,20004,1,2024-11-17 16:00:00,2024-11-17 23:00:00,evening
68,20011,1,2024-11-17 23:00:00,2024-11-18 05:00:00,overnight
69,20001,1,2024-11-18 05:00:00,2024-11-18 11:00:00,morning
70,20006,1,2024-11-18 11:00:00,2024-11-18 16:00:00,midday
71,20010,1,2024-11-18 16:00:00,2024-11-18 23:00:00,evening
72,20011,1,2024-11-18 23:00:00,2024-11-19 05:00:00,overnight
73,20011,1,2024-11-19 05:00:00,2024-11-19 11:00:00,morning
74,20001,1,2024-11-19 11:00:00,2024-11-19 16:00:00,midday
75,20005,1,2024-11-19 16:00:00,2024-11-19 23:00:00,evening
76,20007,1,2024-11-19 23:00:00,2024-11-20 05:00:00,overnight
77,20006,1,2024-11-20 05:00:00,2024-11-20 11:00:00,morning
78,20002,1,2024-11-20 11:00:00,2024-11-20 16:00:00,midday
79,20011,1,2024-11-20 16:00:00,2024-11-20 23:00:00,evening
80,20004,1,2024-11-20 23:00:00,2024-11-21 05:00:00,overnight
81,20011,1,2024-11-21 05:00:00,2024-11-21 11:00:00,morning
82,20002,1,2024-11-21 11:00:00,2024-11-21 16:00:00,midday
83,20011,1,2024-11-21 16:00:00,2024-11-21 23:00:00,evening
84,20001,1,2024-11-21 23:00:00,2024-11-22 05:00:00,overnight
85,20003,1,2024-11-22 05:00:00,2024-11-22 11:00:00,morning
86,20003,1,2024-11-22 11:00:00,2024-11-22 16:00:00,midday
87,20012,1,2024-11-22 16:00:00,2024-11-22 23:00:00,evening
88,20007,1,2024-11-22 23:00:00,2024-11-23 05:00:00,overnight
89,20001,1,2024-11-23 05:00:00,2024-11-23 11:00:00,morning
90,20009,1,2024-11-23 11:00:00,2024-11-23 16:00:00,midday
91,20011,1,2024-11-23 16:00:00,2024-11-23 23:00:00,evening
92,20006,1,2024-11-23 23:00:00,2024-11-24 05:00:00,overnight
93,20004,1,2024-11-24 05:00:00,2024-11-24 11:00:00,morning
94,20003,1,2024-11-24 11:00:00,2024-11-24 16:00:00,midday
95,20003,1,2024-11-24 16:00:00,2024-11-24 23:00:00,evening
96,20002,1,2024-11-24 23:00:00,2024-11-25 05:00:00,overnight
97,20002,1,2024-11-25 05:00:00,2024-11-25 11:00:00,morning
98,20012,1,2024-11-25 11:00:00,2024-11-25 16:00:00,midday
99,20010,1,2024-11-25 16:00:00,2024-11-25 23:00:00,evening
100,20005,1,2024-11-25 23:00:00,2024-11-26 05:00:00,overnight
101,20009,1,2024-11-26 05:00:00,2024-11-26 11:00:00,morning
102,20002,1,2024-11-26 11:00:00,2024-11-26 16:00:00,midday
103,20002,1,2024-11-26 16:00:00,2024-11-26 23:00:00,evening
104,20012,1,2024-11-26 23:00:00,2024-11-27 05:00:00,overnight
105,20006,1,2024-11-27 05:00:00,2024-11-27 11:00:00,morning
106,20010,1,2024-11-27 11:00:00,2024-11-27 16:00:00,midday
107,20002,1,2024-11-27 16:00:00,2024-11-27 23:00:00,evening
108,20012,1,2024-11-27 23:00:00,2024-11-28 05:00:00,overnight
109,20004,1,2024-11-28 05:00:00,2024-11-28 11:00:00,morning
110,20006,1,2024-11-28 11:00:00,2024-11-28 16:00:00,midday
111,20005,1,2024-11-28 16:00:00,2024-11-28 23:00:00,evening
112,20001,1,2024-11-28 23:00:00,2024-11-29 05:00:00,overnight
113,20006,1,2024-11-29 05:00:00,2024-11-29 11:00:00,morning
114,20001,1,2024-11-29 11:00:00,2024-11-29 16:00:00,midday
115,20003,1,2024-11-29 16:00:00,2024-11-29 23:00:00,evening
116,20010,1,2024-11-29 23:00:00,2024-11-30 05:00:00,overnight
117,20005,1,2024-11-30 05:00:00,2024-11-30 11:00:00,morning
118,20010,1,2024-11-30 11:00:00,2024-11-30 16:00:00,midday
119,20005,1,2024-11-30 16:00:00,2024-11-30 23:00:00,evening
120,20010,1,2024-11-30 23:00:00,2024-12-01 05:00:00,overnight
121,20006,1,2024-12-01 05:00:00,2024-12-01 11:00:00,morning
122,20012,1,2024-12-01 11:00:00,2024-12-01 16:00:00,midday
123,20010,1,2024-12-01 16:00:00,2024-12-01 23:00:00,evening
124,20008,1,2024-12-01 23:00:00,2024-12-02 05:00:00,overnight
125,20005,1,2024-12-02 05:00:00,2024-12-02 11:00:00,morning
126,20011,1,2024-12-02 11:00:00,2024-12-02 16:00:00,midday
127,20001,1,2024-12-02 16:00:00,2024-12-02 23:00:00,evening
128,20005,1,2024-12-02 23:00:00,2024-12-03 05:00:00,overnight
129,20003,1,2024-12-03 05:00:00,2024-12-03 11:00:00,morning
130,20004,1,2024-12-03 11:00:00,2024-12-03 16:00:00,midday
131,20008,1,2024-12-03 16:00:00,2024-12-03 23:00:00,evening
132,20007,1,2024-12-03 23:00:00,2024-12-04 05:00:00,overnight
133,20011,1,2024-12-04 05:00:00,2024-12-04 11:00:00,morning
134,20005,1,2024-12-04 11:00:00,2024-12-04 16:00:00,midday
135,20002,1,2024-12-04 16:00:00,2024-12-04 23:00:00,evening
136,20006,1,2024-12-04 23:00:00,2024-12-05 05:00:00,overnight
137,20011,1,2024-12-05 05:00:00,2024-12-05 11:00:00,morning
138,20006,1,2024-12-05 11:00:00,2024-12-05 16:00:00,midday
139,20010,1,2024-12-05 16:00:00,2024-12-05 23:00:00,evening
140,20010,1,2024-12-05 23:00:00,2024-12-06 05:00:00,overnight
141,20011,1,2024-12-06 05:00:00,2024-12-06 11:00:00,morning
142,20006,1,2024-12-06 11:00:00,2024-12-06 16:00:00,midday
143,20009,1,2024-12-06 16:00:00,2024-12-06 23:00:00,evening
144,20011,1,2024-12-06 23:00:00,2024-12-07 05:00:00,overnight
145,20008,1,2024-12-07 05:00:00,2024-12-07 11:00:00,morning
146,20008,1,2024-12-07 11:00:00,2024-12-07 16:00:00,midday
147,20001,1,2024-12-07 16:00:00,2024-12-07 23:00:00,evening
148,20005,1,2024-12-07 23:00:00,2024-12-08 05:00:00,overnight
149,20007,1,2024-12-08 05:00:00,2024-12-08 11:00:00,morning
150,20006,1,2024-12-08 11:00:00,2024-12-08 16:00:00,midday
151,20005,1,2024-12-08 16:00:00,2024-12-08 23:00:00,evening
152,20008,1,2024-12-08 23:00:00,2024-12-09 05:00:00,overnight
153,20003,1,2024-12-09 05:00:00,2024-12-09 11:00:00,morning
154,20006,1,2024-12-09 11:00:00,2024-12-09 16:00:00,midday
155,20005,1,2024-12-09 16:00:00,2024-12-09 23:00:00,evening
156,20008,1,2024-12-09 23:00:00,2024-12-10 05:00:00,overnight
157,20004,1,2024-12-10 05:00:00,2024-12-10 11:00:00,morning
158,20008,1,2024-12-10 11:00:00,2024-12-10 16:00:00,midday
159,20010,1,2024-12-10 16:00:00,2024-12-10 23:00:00,evening
160,20002,1,2024-12-10 23:00:00,2024-12-11 05:00:00,overnight
161,20009,1,2024-12-11 05:00:00,2024-12-11 11:00:00,morning
162,20009,1,2024-12-11 11:00:00,2024-12-11 16:00:00,midday
163,20010,1,2024-12-11 16:00:00,2024-12-11 23:00:00,evening
164,20010,1,2024-12-11 23:00:00,2024-12-12 05:00:00,overnight
165,20006,1,2024-12-12 05:00:00,2024-12-12 11:00:00,morning
166,20004,1,2024-12-12 11:00:00,2024-12-12 16:00:00,midday
167,20004,1,2024-12-12 16:00:00,2024-12-12 23:00:00,evening
168,20006,1,2024-12-12 23:00:00,2024-12-13 05:00:00,overnight
169,20005,1,2024-12-13 05:00:00,2024-12-13 11:00:00,morning
170,20006,1,2024-12-13 11:00:00,2024-12-13 16:00:00,midday
171,20007,1,2024-12-13 16:00:00,2024-12-13 23:00:00,evening
172,20007,1,2024-12-13 23:00:00,2024-12-14 05:00:00,overnight
173,20009,1,2024-12-14 05:00:00,2024-12-14 11:00:00,morning
174,20008,1,2024-12-14 11:00:00,2024-12-14 16:00:00,midday
175,20006,1,2024-12-14 16:00:00,2024-12-14 23:00:00,evening
176,20012,1,2024-12-14 23:00:00,2024-12-15 05:00:00,overnight
177,20006,1,2024-12-15 05:00:00,2024-12-15 11:00:00,morning
178,20005,1,2024-12-15 11:00:00,2024-12-15 16:00:00,midday
179,20001,1,2024-12-15 16:00:00,2024-12-15 23:00:00,evening
180,20009,1,2024-12-15 23:00:00,2024-12-16 05:00:00,overnight
181,20009,1,2024-12-16 05:00:00,2024-12-16 11:00:00,morning
182,20009,1,2024-12-16 11:00:00,2024-12-16 16:00:00,midday
183,20011,1,2024-12-16 16:00:00,2024-12-16 23:00:00,evening
184,20008,1,2024-12-16 23:00:00,2024-12-17 05:00:00,overnight
185,20010,1,2024-12-17 05:00:00,2024-12-17 11:00:00,morning
186,20003,1,2024-12-17 11:00:00,2024-12-17 16:00:00,midday
187,20001,1,2024-12-17 16:00:00,2024-12-17 23:00:00,evening
188,20011,1,2024-12-17 23:00:00,2024-12-18 05:00:00,overnight
189,20012,1,2024-12-18 05:00:00,2024-12-18 11:00:00,morning
190,20012,1,2024-12-18 11:00:00,2024-12-18 16:00:00,midday
191,20008,1,2024-12-18 16:00:00,2024-12-18 23:00:00,evening
192,20007,1,2024-12-18 23:00:00,2024-12-19 05:00:00,overnight
193,20005,1,2024-12-19 05:00:00,2024-12-19 11:00:00,morning
194,20010,1,2024-12-19 11:00:00,2024-12-19 16:00:00,midday
195,20007,1,2024-12-19 16:00:00,2024-12-19 23:00:00,evening
196,20010,1,2024-12-19 23:00:00,2024-12-20 05:00:00,overnight
197,20004,1,2024-12-20 05:00:00,2024-12-20 11:00:00,morning
198,20009,1,2024-12-20 11:00:00,2024-12-20 16:00:00,midday
199,20011,1,2024-12-20 16:00:00,2024-12-20 23:00:00,evening
200,20010,1,2024-12-20 23:00:00,2024-12-21 05:00:00,overnight
201,20002,1,2024-12-21 05:00:00,2024-12-21 11:00:00,morning
202,20009,1,2024-12-21 11:00:00,2024-12-21 16:00:00,midday
203,20009,1,2024-12-21 16:00:00,2024-12-21 23:00:00,evening
204,20005,1,2024-12-21 23:00:00,2024-12-22 05:00:00,overnight
205,20011,1,2024-12-22 05:00:00,2024-12-22 11:00:00,morning
206,20001,1,2024-12-22 11:00:00,2024-12-22 16:00:00,midday
207,20007,1,2024-12-22 16:00:00,2024-12-22 23:00:00,evening
208,20010,1,2024-12-22 23:00:00,2024-12-23 05:00:00,overnight
209,20010,1,2024-12-23 05:00:00,2024-12-23 11:00:00,morning
210,20004,1,2024-12-23 11:00:00,2024-12-23 16:00:00,midday
211,20009,1,2024-12-23 16:00:00,2024-12-23 23:00:00,evening
212,20006,1,2024-12-23 23:00:00,2024-12-24 05:00:00,overnight
213,20003,1,2024-12-24 05:00:00,2024-12-24 11:00:00,morning
214,20006,1,2024-12-24 11:00:00,2024-12-24 16:00:00,midday
215,20010,1,2024-12-24 16:00:00,2024-12-24 23:00:00,evening
216,20006,1,2024-12-24 23:00:00,2024-12-25 05:00:00,overnight
